feature	h1_index	h2_index	"|W1[i,j]|"	"|W2[j,k]|"	"|W3[k,0]|"	path_contrib_abs
¼É­·¥b®|_YJ	15	18	0.479706507	0.088149439	0.326526642	0.01380746
¼É­·¥b®|_YJ	9	5	0.407255189	0.089643702	0.375866085	0.013722068
¼É­·¥b®|_YJ	6	15	0.146019007	0.235257145	0.397304743	0.013648218
¼É­·¥b®|_YJ	6	12	0.146019007	0.285549687	0.319460021	0.013320103
¼É­·¥b®|_YJ	20	5	0.407899273	0.085552888	0.375866085	0.013116584
¼É­·¥b®|_YJ	18	1	0.258031195	0.127408029	0.396380165	0.013031095
¼É­·¥b®|_YJ	12	7	0.336503548	0.129388996	0.29860869	0.013001379
¼É­·¥b®|_YJ	16	11	0.184673291	0.120116216	0.584426061	0.012963889
¼É­·¥b®|_YJ	19	5	0.179063809	0.191825879	0.375866085	0.012910651
¼É­·¥b®|_YJ	9	1	0.407255189	0.079281126	0.396380165	0.012798184
¼É­·¥b®|_YJ	14	10	0.146326316	0.30215161	0.287009407	0.01268947
¼É­·¥b®|_YJ	16	4	0.184673291	0.130001474	0.522711161	0.012549145
¼É­·¥b®|_YJ	12	14	0.336503548	0.064705128	0.572824514	0.012472397
¼É­·¥b®|_YJ	3	17	0.128312472	0.221294903	0.438510316	0.012451455
¼É­·¥b®|_YJ	3	7	0.128312472	0.324939725	0.29860869	0.012450137
¼É­·¥b®|_YJ	1	7	0.340392218	0.122320841	0.29860869	0.012433189
¼É­·¥b®|_YJ	11	5	0.152782538	0.21642408	0.375866085	0.01242832
¼É­·¥b®|_YJ	13	4	0.426023379	0.055798451	0.522711161	0.012425599
¼É­·¥b®|_YJ	20	13	0.407899273	0.125562626	0.241860853	0.012387364
¼É­·¥b®|_YJ	20	9	0.407899273	0.362880005	0.08258855	0.012224632
¼É­·¥b®|_YJ	2	5	0.385470074	0.084334725	0.375866085	0.012218847
¼É­·¥b®|_YJ	14	5	0.146326316	0.219892595	0.375866085	0.012093895
¼É­·¥b®|_YJ	16	7	0.184673291	0.217856228	0.29860869	0.012013693
¼É­·¥b®|_YJ	2	12	0.385470074	0.097326033	0.319460021	0.011984949
¼É­·¥b®|_YJ	19	16	0.179063809	0.120918209	0.544838227	0.011796878
¼É­·¥b®|_YJ	6	13	0.146019007	0.333666678	0.241860853	0.011783866
¼É­·¥b®|_YJ	16	18	0.184673291	0.194199375	0.326526642	0.011710368
¼É­·¥b®|_YJ	11	10	0.152782538	0.26658395	0.287009407	0.011689713
¼É­·¥b®|_YJ	3	4	0.128312472	0.174033311	0.522711161	0.011672477
¼É­·¥b®|_YJ	5	2	0.195393854	0.302910328	0.196884487	0.011652966
¼É­·¥b®|_YJ	12	2	0.336503548	0.174727948	0.196884487	0.011576133
¼É­·¥b®|_YJ	2	6	0.385470074	0.244722153	0.120210233	0.0113398
¼É­·¥b®|_YJ	13	20	0.426023379	0.191564902	0.136993461	0.011180191
¼É­·¥b®|_YJ	7	3	0.36128892	0.089148537	0.344841609	0.011106789
¼É­·¥b®|_YJ	4	6	0.340686003	0.267207176	0.120210233	0.010943188
¼É­·¥b®|_YJ	16	8	0.184673291	0.240312734	0.242995258	0.01078397
¼É­·¥b®|_YJ	12	16	0.336503548	0.057941375	0.544838227	0.010622972
¼É­·¥b®|_YJ	13	7	0.426023379	0.082827074	0.29860869	0.010536787
¼É­·¥b®|_YJ	14	7	0.146326316	0.241076333	0.29860869	0.010533664
¼É­·¥b®|_YJ	11	15	0.152782538	0.170642435	0.397304743	0.010358205
¼É­·¥b®|_YJ	18	14	0.258031195	0.070068586	0.572824514	0.010356599
¼É­·¥b®|_YJ	6	17	0.146019007	0.160719734	0.438510316	0.01029102
¼É­·¥b®|_YJ	18	9	0.258031195	0.481772021	0.08258855	0.010266765
¼É­·¥b®|_YJ	14	2	0.146326316	0.354086542	0.196884487	0.010201014
¼É­·¥b®|_YJ	7	6	0.36128892	0.233565442	0.120210233	0.010143893
¼É­·¥b®|_YJ	5	3	0.195393854	0.149235401	0.344841609	0.010055471
¼É­·¥b®|_YJ	6	19	0.146019007	0.152311751	0.446431716	0.009928825
¼É­·¥b®|_YJ	3	5	0.128312472	0.205781485	0.375866085	0.009924493
¼É­·¥b®|_YJ	16	12	0.184673291	0.163548125	0.319460021	0.009648642
¼É­·¥b®|_YJ	18	8	0.258031195	0.151033872	0.242995258	0.009469878
¼É­·¥b®|_YJ	4	7	0.340686003	0.09259055	0.29860869	0.009419403
¼É­·¥b®|_YJ	8	20	0.369832503	0.17958729	0.136993461	0.009098724
¼É­·¥b®|_YJ	19	7	0.179063809	0.168228788	0.29860869	0.008995195
¼É­·¥b®|_YJ	7	11	0.36128892	0.042528578	0.584426061	0.008979767
¼É­·¥b®|_YJ	12	6	0.336503548	0.21914567	0.120210233	0.008864699
¼É­·¥b®|_YJ	9	13	0.407255189	0.08923449	0.241860853	0.008789516
¼É­·¥b®|_YJ	2	9	0.385470074	0.271566016	0.08258855	0.008645417
¼É­·¥b®|_YJ	3	1	0.128312472	0.168818781	0.396380165	0.008586211
¼É­·¥b®|_YJ	3	16	0.128312472	0.120379417	0.544838227	0.00841567
¼É­·¥b®|_YJ	4	20	0.340686003	0.180063834	0.136993461	0.008403895
¼É­·¥b®|_YJ	18	19	0.258031195	0.071559618	0.446431716	0.008243189
¼É­·¥b®|_YJ	19	4	0.179063809	0.086656378	0.522711161	0.00811092
¼É­·¥b®|_YJ	12	3	0.336503548	0.069451986	0.344841609	0.008059238
¼É­·¥b®|_YJ	8	10	0.369832503	0.075644627	0.287009407	0.00802933
¼É­·¥b®|_YJ	7	8	0.36128892	0.088216773	0.242995258	0.007744682
¼É­·¥b®|_YJ	6	6	0.146019007	0.43099353	0.120210233	0.00756522
¼É­·¥b®|_YJ	2	20	0.385470074	0.141648643	0.136993461	0.007480023
¼É­·¥b®|_YJ	11	12	0.152782538	0.153220947	0.319460021	0.007478395
¼É­·¥b®|_YJ	15	7	0.479706507	0.052060886	0.29860869	0.007457437
¼É­·¥b®|_YJ	4	9	0.340686003	0.263583743	0.08258855	0.007416393
¼É­·¥b®|_YJ	5	15	0.195393854	0.094978209	0.397304743	0.007373244
¼É­·¥b®|_YJ	2	8	0.385470074	0.077281384	0.242995258	0.007238746
¼É­·¥b®|_YJ	11	8	0.152782538	0.191180833	0.242995258	0.007097671
¼É­·¥b®|_YJ	8	1	0.369832503	0.048366875	0.396380165	0.007090307
¼É­·¥b®|_YJ	6	3	0.146019007	0.13841043	0.344841609	0.00696944
¼É­·¥b®|_YJ	2	13	0.385470074	0.074639024	0.241860853	0.006958605
¼É­·¥b®|_YJ	12	18	0.336503548	0.062619014	0.326526642	0.006880413
¼É­·¥b®|_YJ	2	17	0.385470074	0.04035719	0.438510316	0.006821681
¼É­·¥b®|_YJ	12	15	0.336503548	0.050956572	0.397304743	0.006812611
¼É­·¥b®|_YJ	15	2	0.479706507	0.070038527	0.196884487	0.006614913
¼É­·¥b®|_YJ	3	14	0.128312472	0.088905587	0.572824514	0.006534608
¼É­·¥b®|_YJ	14	6	0.146326316	0.370002357	0.120210233	0.006508312
¼É­·¥b®|_YJ	16	16	0.184673291	0.064615926	0.544838227	0.006501465
¼É­·¥b®|_YJ	14	8	0.146326316	0.180726232	0.242995258	0.006426011
¼É­·¥b®|_YJ	6	16	0.146019007	0.079918271	0.544838227	0.006358037
¼É­·¥b®|_YJ	7	10	0.36128892	0.061072152	0.287009407	0.006332774
¼É­·¥b®|_YJ	16	20	0.184673291	0.241231671	0.136993461	0.006102928
¼É­·¥b®|_YJ	1	8	0.340392218	0.072717551	0.242995258	0.006014737
¼É­·¥b®|_YJ	19	11	0.179063809	0.057410705	0.584426061	0.006008005
¼É­·¥b®|_YJ	20	19	0.407899273	0.032361837	0.446431716	0.005893064
¼É­·¥b®|_YJ	6	10	0.146019007	0.138530822	0.287009407	0.005805664
¼É­·¥b®|_YJ	16	6	0.184673291	0.260258522	0.120210233	0.00577764
¼É­·¥b®|_YJ	18	20	0.258031195	0.157029676	0.136993461	0.005550777
¼É­·¥b®|_YJ	12	9	0.336503548	0.195783657	0.08258855	0.00544109
¼É­·¥b®|_YJ	16	15	0.184673291	0.071790175	0.397304743	0.005267358
¼É­·¥b®|_YJ	6	2	0.146019007	0.178514821	0.196884487	0.005132101
¼É­·¥b®|_YJ	3	9	0.128312472	0.468914028	0.08258855	0.004969148
¼É­·¥b®|_YJ	5	16	0.195393854	0.043331941	0.544838227	0.004613034
¼É­·¥b®|_YJ	6	18	0.146019007	0.09666688	0.326526642	0.004608989
¼É­·¥b®|_YJ	16	17	0.184673291	0.055202311	0.438510316	0.004470346
¼É­·¥b®|_YJ	15	9	0.479706507	0.112564304	0.08258855	0.004459602
¼É­·¥b®|_YJ	1	20	0.340392218	0.093781882	0.136993461	0.004373191
¼É­·¥b®|_YJ	13	2	0.426023379	0.050438337	0.196884487	0.004230636
¼É­·¥b®|_YJ	5	8	0.195393854	0.086936437	0.242995258	0.004127723
¼É­·¥b®|_YJ	5	6	0.195393854	0.173732725	0.120210233	0.004080693
¼É­·¥b®|_YJ	11	3	0.152782538	0.07474692	0.344841609	0.0039381
¼É­·¥b®|_YJ	11	6	0.152782538	0.213326667	0.120210233	0.003917963
¼É­·¥b®|_YJ	18	2	0.258031195	0.077072333	0.196884487	0.003915455
¼É­·¥b®|_YJ	20	20	0.407899273	0.068934141	0.136993461	0.003852008
¼É­·¥b®|_YJ	6	20	0.146019007	0.188653609	0.136993461	0.003773761
¼É­·¥b®|_YJ	7	20	0.36128892	0.074030326	0.136993461	0.003664073
¼É­·¥b®|_YJ	7	2	0.36128892	0.051417642	0.196884487	0.003657449
¼É­·¥b®|_YJ	5	9	0.195393854	0.22225613	0.08258855	0.003586613
¼É­·¥b®|_YJ	11	2	0.152782538	0.119092906	0.196884487	0.003582376
¼É­·¥b®|_YJ	12	20	0.336503548	0.075712585	0.136993461	0.003490258
¼É­·¥b®|_YJ	5	10	0.195393854	0.062162806	0.287009407	0.003486082
¼É­·¥b®|_YJ	19	8	0.179063809	0.079447793	0.242995258	0.003456905
¼É­·¥b®|_YJ	8	11	0.369832503	0.015928053	0.584426061	0.003442685
¼É­·¥b®|_YJ	19	6	0.179063809	0.153969629	0.120210233	0.003314243
¼É­·¥b®|_YJ	14	20	0.146326316	0.164444476	0.136993461	0.003296413
¼É­·¥b®|_YJ	6	9	0.146019007	0.273225389	0.08258855	0.003294961
¼É­·¥b®|_YJ	16	9	0.184673291	0.211240875	0.08258855	0.003221825
¼É­·¥b®|_YJ	14	12	0.146326316	0.068157832	0.319460021	0.003186066
¼É­·¥b®|_YJ	16	2	0.184673291	0.085580157	0.196884487	0.003111635
¼É­·¥b®|_YJ	2	1	0.385470074	0.020341073	0.396380165	0.003107967
¼É­·¥b®|_YJ	7	9	0.36128892	0.104106812	0.08258855	0.003106373
¼É­·¥b®|_YJ	19	2	0.179063809	0.087166085	0.196884487	0.00307303
¼É­·¥b®|_YJ	3	6	0.128312472	0.198791675	0.120210233	0.003066257
¼É­·¥b®|_YJ	3	12	0.128312472	0.072796102	0.319460021	0.002983964
¼É­·¥b®|_YJ	8	6	0.369832503	0.066502998	0.120210233	0.002956567
¼É­·¥b®|_YJ	6	7	0.146019007	0.067262343	0.29860869	0.002932809
¼É­·¥b®|_YJ	5	20	0.195393854	0.104519141	0.136993461	0.002797735
¼É­·¥b®|_YJ	20	6	0.407899273	0.055257278	0.120210233	0.002709467
¼É­·¥b®|_YJ	9	2	0.407255189	0.033364923	0.196884487	0.002675274
¼É­·¥b®|_YJ	8	8	0.369832503	0.028812535	0.242995258	0.002589312
¼É­·¥b®|_YJ	11	7	0.152782538	0.054256719	0.29860869	0.002475311
¼É­·¥b®|_YJ	5	7	0.195393854	0.042062164	0.29860869	0.002454172
¼É­·¥b®|_YJ	16	13	0.184673291	0.054676008	0.241860853	0.002442117
¼É­·¥b®|_YJ	3	13	0.128312472	0.077220979	0.241860853	0.002396458
¼É­·¥b®|_YJ	16	1	0.184673291	0.030666881	0.396380165	0.002244841
¼É­·¥b®|_YJ	14	3	0.146326316	0.042915962	0.344841609	0.002165514
¼É­·¥b®|_YJ	3	20	0.128312472	0.123167347	0.136993461	0.002165032
¼É­·¥b®|_YJ	3	8	0.128312472	0.068886011	0.242995258	0.002147819
¼É­·¥b®|_YJ	19	14	0.179063809	0.019788473	0.572824514	0.002029746
¼É­·¥b®|_YJ	7	17	0.36128892	0.012551629	0.438510316	0.001988541
¼É­·¥b®|_YJ	19	13	0.179063809	0.044073447	0.241860853	0.001908756
¼É­·¥b®|_YJ	18	6	0.258031195	0.054500984	0.120210233	0.001690511
¼É­·¥b®|_YJ	11	20	0.152782538	0.077111619	0.136993461	0.001613962
