Features,Architecture,R2_train,R2_test,RMSE_test
"('風速', '暴風半徑_YJ', '潮位_BC2')","(20, 20)",0.17870948757875427,0.07123890669368516,9717.270900558191
"('風速', '暴風半徑_YJ', '波能_log1p')","(6, 6)",-0.06044597829871101,-0.6650748824093295,13010.955394996008
"('風速', '暴風半徑_YJ', '波能_log1p')","(12, 12)",0.17116213137730885,0.09121965645149854,9612.177139582873
"('風速', '暴風半徑_YJ', '波能_log1p')","(20, 20)",0.2098023384897577,-0.11331389801269931,10639.007585120413
"('風速', '暴風半徑_YJ', '功率_log1p')","(6, 6)",-0.11766382816645238,-0.3103515644650332,11542.136843539873
"('風速', '暴風半徑_YJ', '功率_log1p')","(12, 12)",0.2273782975264913,0.07646612011539067,9689.887152156361
"('風速', '暴風半徑_YJ', '功率_log1p')","(20, 20)",0.19412522099653862,0.059777473864606745,9777.045340127115
"('風速', '暴風半徑_YJ', '尖峰週期_BC')","(6, 6)",-0.08873121055105848,-0.10154433034148735,10582.622221903417
"('風速', '暴風半徑_YJ', '尖峰週期_BC')","(12, 12)",0.48691218240587897,-0.06493890784510303,10405.301062533314
"('風速', '暴風半徑_YJ', '尖峰週期_BC')","(20, 20)",0.17384107504358126,0.16778113449262777,9198.374376321555
"('風速', '潮位_BC2', '波能_log1p')","(6, 6)",-0.34492635739050526,-0.6381613498670347,12905.375361024475
"('風速', '潮位_BC2', '波能_log1p')","(12, 12)",-0.19910371778506186,-0.664302889199641,13007.938853868563
"('風速', '潮位_BC2', '波能_log1p')","(20, 20)",0.10636741627378643,-0.4391576312168006,12096.13111474913
"('風速', '潮位_BC2', '功率_log1p')","(6, 6)",-0.40020766013465203,-0.4294437026470035,12055.239172808162
"('風速', '潮位_BC2', '功率_log1p')","(12, 12)",0.04629748163345837,-0.6807106244173207,13071.901778356341
"('風速', '潮位_BC2', '功率_log1p')","(20, 20)",0.11434892007463893,-0.10827133872728334,10614.886485204077
"('風速', '潮位_BC2', '尖峰週期_BC')","(6, 6)",-0.05773498415768752,-0.016218233940546334,10164.494724633305
"('風速', '潮位_BC2', '尖峰週期_BC')","(12, 12)",0.03811669543523588,-0.658028797998403,12983.397030155236
"('風速', '潮位_BC2', '尖峰週期_BC')","(20, 20)",0.09518899454365648,-0.023316300970019466,10199.931363879954
"('風速', '波能_log1p', '功率_log1p')","(6, 6)",-0.22851595281549564,-0.26984450913327884,11362.334642158576
"('風速', '波能_log1p', '功率_log1p')","(12, 12)",0.07983440035328637,-0.24048039596776216,11230.193926234295
"('風速', '波能_log1p', '功率_log1p')","(20, 20)",0.11604668181870559,-0.7836975640562092,13466.44348543171
"('風速', '波能_log1p', '尖峰週期_BC')","(6, 6)",-0.12283788445133981,-0.20289701751895683,11058.76240050462
"('風速', '波能_log1p', '尖峰週期_BC')","(12, 12)",0.07028756400086766,-0.1577089657051849,10849.057264501576
