Features,Architecture,R2_train,R2_test,RMSE_test
"('風速', '氣壓', '尖峰週期_BC')","(6, 6)",0.10829246376668444,-1.167438157711746,21039.832611351943
"('風速', '氣壓', '尖峰週期_BC')","(12, 12)",-0.38462946472552995,-0.20727339415809043,15702.606145408365
"('風速', '氣壓', '尖峰週期_BC')","(20, 20)",0.3220501944932769,0.43412348220900654,10750.52711975623
"('風速', 'wind_dir_sin', 'wind_dir_cos')","(6, 6)",-0.005286036469621669,-0.5919290123775425,18031.45497463414
"('風速', 'wind_dir_sin', 'wind_dir_cos')","(12, 12)",-0.2185998802859126,-0.19808024045524109,15642.705738624973
"('風速', 'wind_dir_sin', 'wind_dir_cos')","(20, 20)",0.18569954397046073,0.1325738157826909,13310.218556837059
"('風速', 'wave_dir_sin', 'wave_dir_cos')","(6, 6)",-3.047169023564731,-1.557322836869075,22853.972547350193
"('風速', 'wave_dir_sin', 'wave_dir_cos')","(12, 12)",-0.18872910852099256,-0.21793195894213868,15771.770040567322
"('風速', 'wave_dir_sin', 'wave_dir_cos')","(20, 20)",-0.13198268561471216,-0.10346980621150204,15012.366211091474
"('風速', '波高_YJ', '降雨_YJ')","(6, 6)",-1.1406568495518838,-0.8208855787720875,19284.582944509195
"('風速', '波高_YJ', '降雨_YJ')","(12, 12)",-0.20173359663813262,-0.08940308763552474,14916.372622340472
"('風速', '波高_YJ', '降雨_YJ')","(20, 20)",-0.5645322275651168,-0.696439843783565,18613.933367914196
"('風速', '波高_YJ', '暴風半徑_YJ')","(6, 6)",-0.7438183710774027,-0.9148790937414026,19776.052290028292
"('風速', '波高_YJ', '暴風半徑_YJ')","(12, 12)",0.0222332252644325,-0.007737382609647181,14346.389167307536
"('風速', '波高_YJ', '暴風半徑_YJ')","(20, 20)",-0.2803314583696557,-0.21606789730990883,15759.695963312723
"('風速', '波高_YJ', '潮位_BC2')","(6, 6)",-0.8010963984395245,-0.9548992723345076,19981.63931764864
"('風速', '波高_YJ', '潮位_BC2')","(12, 12)",0.02728518393517365,-0.01633939811912355,14407.48922712033
"('風速', '波高_YJ', '潮位_BC2')","(20, 20)",-0.30363912340644217,-0.38398935142386015,16812.61613229501
"('風速', '波高_YJ', '波能_log1p')","(6, 6)",-2.997287516364603,-2.840093655230977,28005.274323261427
"('風速', '波高_YJ', '波能_log1p')","(12, 12)",-0.1589829793483477,-0.1381648275516194,15246.54722171194
"('風速', '波高_YJ', '波能_log1p')","(20, 20)",-1.0551662368974455,-0.5112711941035515,17568.720153235474
"('風速', '波高_YJ', '功率_log1p')","(6, 6)",-0.36397614124657496,-0.6455705524486235,18332.73144072502
"('風速', '波高_YJ', '功率_log1p')","(12, 12)",0.004562034121362801,-0.05624796374246466,14687.634792384686
"('風速', '波高_YJ', '功率_log1p')","(20, 20)",-0.6957549391111346,-0.4052010240836488,16940.965254347022
"('風速', '波高_YJ', '尖峰週期_BC')","(6, 6)",-0.8467560110190995,-0.9870450777283541,20145.255630729644
"('風速', '波高_YJ', '尖峰週期_BC')","(12, 12)",0.05510696685059546,0.0442467939061707,13971.460417326762
"('風速', '波高_YJ', '尖峰週期_BC')","(20, 20)",-0.4948014513215415,-0.3905846600837688,16852.628218894533
"('風速', '降雨_YJ', '暴風半徑_YJ')","(6, 6)",0.1424155228986964,-0.6435504001938241,18321.475076791674
"('風速', '降雨_YJ', '暴風半徑_YJ')","(12, 12)",-0.2235783726869749,-0.2712237277597682,16113.130266756001
"('風速', '降雨_YJ', '暴風半徑_YJ')","(20, 20)",0.024108450442270835,-0.10809016413466432,15043.762652184354
"('風速', '降雨_YJ', '潮位_BC2')","(6, 6)",-0.2971476989832147,-1.0978270411939617,20699.209614004743
"('風速', '降雨_YJ', '潮位_BC2')","(12, 12)",-0.19292333049707966,-0.3554251978842651,16638.21379237629
"('風速', '降雨_YJ', '潮位_BC2')","(20, 20)",-0.08807774560541337,-0.31249674913345116,16372.614681351606
"('風速', '降雨_YJ', '波能_log1p')","(6, 6)",-3.1287258476041924,-1.6361659888571856,23203.59620737663
"('風速', '降雨_YJ', '波能_log1p')","(12, 12)",-0.2972893673643906,-0.33231449192269524,16495.75884104997
"('風速', '降雨_YJ', '波能_log1p')","(20, 20)",-0.7340957581670298,-0.5240668507714914,17642.938954521058
"('風速', '降雨_YJ', '功率_log1p')","(6, 6)",-0.10959817354587109,-0.4563932676535345,17246.789162389472
"('風速', '降雨_YJ', '功率_log1p')","(12, 12)",-0.1767996016232063,-0.22354994837081943,15808.103635911679
"('風速', '降雨_YJ', '功率_log1p')","(20, 20)",-0.013038305430888464,-0.10435418914555883,15018.38088466819
"('風速', '降雨_YJ', '尖峰週期_BC')","(6, 6)",-0.08007297652732981,-0.709985506417856,18688.09949490228
"('風速', '降雨_YJ', '尖峰週期_BC')","(12, 12)",-0.31556816456655423,-0.324989618186005,16450.35068661491
"('風速', '降雨_YJ', '尖峰週期_BC')","(20, 20)",0.18998957664032035,-0.14155177833414245,15269.215706886129
"('風速', '暴風半徑_YJ', '潮位_BC2')","(6, 6)",-0.26218563462638755,-0.6347656299695275,18272.44536811772
"('風速', '暴風半徑_YJ', '潮位_BC2')","(12, 12)",-0.03686058801220682,-0.21810667720767407,15772.901268574817
"('風速', '暴風半徑_YJ', '潮位_BC2')","(20, 20)",0.18400667865241105,-0.20409866734662407,15681.946242961061
"('風速', '暴風半徑_YJ', '波能_log1p')","(6, 6)",-3.2241400560239146,-2.3179554663563704,26031.800015836423
"('風速', '暴風半徑_YJ', '波能_log1p')","(12, 12)",-0.16822264644035445,-0.26428311076811717,16069.082893165443
"('風速', '暴風半徑_YJ', '波能_log1p')","(20, 20)",-0.8005972990426933,-0.2767746803610256,16148.271914858018
"('風速', '暴風半徑_YJ', '功率_log1p')","(6, 6)",-0.23300361218730292,-0.29675770366847476,16274.150998978024
"('風速', '暴風半徑_YJ', '功率_log1p')","(12, 12)",-0.07881652026359065,-0.18904178173938369,15583.588822273965
